Pre-assign Room Name,Email Address
Wonderland,test1@xxx.com
The Hundred Acre Woods,test1@xxx.com
Mount Olympus,test1@xxx.com
Cave of Wonders,test1@xxx.com
Pride Rock,test1@xxx.com
Atlantis,test1@xxx.com
Radiator Springs,test1@xxx.com
Halloween Town,test1@xxx.com
Monstropolis,test1@xxx.com
Toontown,test1@xxx.com
Te Fiti,test1@xxx.com
Zootopia,test1@xxx.com
Chris,test1@xxx.com
Nicole,test1@xxx.com
Charlean,test1@xxx.com
Sarah,test1@xxx.com
Paul,test1@xxx.com
Career Readiness,test1@xxx.com
Instructors,test1@xxx.com
