Pre-assign Room Name,Email Address
East Village,test1@xxx.com
South Park,test1@xxx.com
Gaslamp,test1@xxx.com
Little Italy,test1@xxx.com
Golden Hill,test1@xxx.com
Barrio Logan,test1@xxx.com
Marina District,test1@xxx.com
Sherman Heights,test1@xxx.com
Bankers Hill,test1@xxx.com
Cortez Hill,test1@xxx.com
Columbia,test1@xxx.com
Seaport Village,test1@xxx.com
Civic Core,test1@xxx.com
Chris,test1@xxx.com
Nicole,test1@xxx.com
Charlean,test1@xxx.com
Sarah,test1@xxx.com
Paul,test1@xxx.com
Career Readiness,test1@xxx.com
Instructors,test1@xxx.com
