Pre-assign Room Name,Email Address
Pike Place Market,test1@xxx.com
Venice Beach,test1@xxx.com
Navy Pier,test1@xxx.com
French Quarter,test1@xxx.com
Times Square,test1@xxx.com
Balboa Park,test1@xxx.com
Disney World,test1@xxx.com
River Walk,test1@xxx.com
Waikiki,test1@xxx.com
Central Park,test1@xxx.com
Fisherman's Wharf,test1@xxx.com
Kennedy Space Center,test1@xxx.com
Las Vegas Strip,test1@xxx.com
Chris,test1@xxx.com
Nicole,test1@xxx.com
Charlean,test1@xxx.com
Sarah,test1@xxx.com
Paul,test1@xxx.com
Career Readiness,test1@xxx.com
Instructors,test1@xxx.com
